Target.node	Source.node	Relationship	layer
O43184	Q8A8D1	stimulates>	bacteria-bindingprot
O43184	Q8A9X3	stimulates>	bacteria-bindingprot
P26006	Q8A2E4	stimulates>	bacteria-bindingprot
P26006	Q8A8L5	stimulates>	bacteria-bindingprot
P26006	Q8A7E9	stimulates>	bacteria-bindingprot
P26006	Q8A8G0	stimulates>	bacteria-bindingprot
Q9NPG1	Q8A5K0	stimulates>	bacteria-bindingprot
Q13444	Q8AB67	stimulates>	bacteria-bindingprot
Q13444	Q8A0Y6	stimulates>	bacteria-bindingprot
Q13444	Q8A1G4	stimulates>	bacteria-bindingprot
Q13444	Q8A3C4	stimulates>	bacteria-bindingprot
Q13444	Q8A3Z4	stimulates>	bacteria-bindingprot
Q13444	Q8A507	stimulates>	bacteria-bindingprot
Q13444	Q8A5V0	stimulates>	bacteria-bindingprot
Q13444	Q8A673	stimulates>	bacteria-bindingprot
Q13444	Q8A8D1	stimulates>	bacteria-bindingprot
Q13444	Q8A9X3	stimulates>	bacteria-bindingprot
P20333	Q8AB67	stimulates>	bacteria-bindingprot
P20333	Q8A0Y6	stimulates>	bacteria-bindingprot
P20333	Q8A1G4	stimulates>	bacteria-bindingprot
P20333	Q8A3C4	stimulates>	bacteria-bindingprot
P20333	Q8A3Z4	stimulates>	bacteria-bindingprot
P20333	Q8A507	stimulates>	bacteria-bindingprot
P20333	Q8A5V0	stimulates>	bacteria-bindingprot
P20333	Q8A673	stimulates>	bacteria-bindingprot
P20333	Q8A8D1	stimulates>	bacteria-bindingprot
P20333	Q8A9X3	stimulates>	bacteria-bindingprot
Q9ULT6	Q8A0Y2	stimulates>	bacteria-bindingprot
P36941	Q8A2E4	stimulates>	bacteria-bindingprot
P36941	Q8A8L5	stimulates>	bacteria-bindingprot
P36941	Q8A7E9	stimulates>	bacteria-bindingprot
P36941	Q8A8G0	stimulates>	bacteria-bindingprot
O60353	Q8AB67	stimulates>	bacteria-bindingprot
O60353	Q8A0Y6	stimulates>	bacteria-bindingprot
O60353	Q8A1G4	stimulates>	bacteria-bindingprot
O60353	Q8A3C4	stimulates>	bacteria-bindingprot
O60353	Q8A3Z4	stimulates>	bacteria-bindingprot
O60353	Q8A507	stimulates>	bacteria-bindingprot
O60353	Q8A5V0	stimulates>	bacteria-bindingprot
O60353	Q8A673	stimulates>	bacteria-bindingprot
O60353	Q8A8D1	stimulates>	bacteria-bindingprot
O60353	Q8A9X3	stimulates>	bacteria-bindingprot
Q9NWQ8	Q8A5K0	stimulates>	bacteria-bindingprot
P28347	P46937	stimulates>	bindingprot-tf
Q04206	P40763	stimulates>	bindingprot-tf
Q13330	Q09472	inhibits>	bindingprot-tf
P04637	P61978	stimulates>	bindingprot-tf
P05412	P45983	stimulates>	bindingprot-tf
P12931	P63096	stimulates>	bindingprot-tf
P04049	P67775	stimulates>	bindingprot-tf
P15884	P35222	stimulates>	bindingprot-tf
Q14451	P21860	stimulates>	bindingprot-tf
P07948	P12931	inhibits>	bindingprot-tf
P42226	P23458	stimulates>	bindingprot-tf
O14965	P42229	stimulates>	bindingprot-tf
P18146	Q04206	stimulates>	bindingprot-tf
Q15797	O95819	inhibits>	bindingprot-tf
P17676	P51812	inhibits>	bindingprot-tf
P04637	P17252	stimulates>	bindingprot-tf
P04083	P00533	stimulates>	bindingprot-tf
Q13948	P49841	inhibits>	bindingprot-tf
P42771	P53355	stimulates>	bindingprot-tf
Q14814	Q13469	stimulates>	bindingprot-tf
Q9NQB0	Q9UBE8	inhibits>	bindingprot-tf
Q07869	Q13133	stimulates>	bindingprot-tf
Q00653	P78527	inhibits>	bindingprot-tf
P14618	P53355	stimulates>	bindingprot-tf
Q92993	Q09472	inhibits>	bindingprot-tf
P04637	P45983	stimulates>	bindingprot-tf
P06733	P00519	inhibits>	bindingprot-tf
P04406	Q05655	inhibits>	bindingprot-tf
P63098	P0DP24	stimulates>	bindingprot-tf
O43524	P51812	inhibits>	bindingprot-tf
P49023	P46108	stimulates>	bindingprot-tf
P04150	P78527	inhibits>	bindingprot-tf
Q05655	P00533	inhibits>	bindingprot-tf
P40763	Q13263	inhibits>	bindingprot-tf
Q8IZL2	Q06330	stimulates>	bindingprot-tf
P19419	Q08209	inhibits>	bindingprot-tf
P11831	P17612	stimulates>	bindingprot-tf
Q13705	P16070	inhibits>	bindingprot-tf
P11831	O43474	inhibits>	bindingprot-tf
P17252	P40763	inhibits>	bindingprot-tf
P42224	P45983	stimulates>	bindingprot-tf
Q9Y6Q9	Q9UBE8	inhibits>	bindingprot-tf
P16220	Q16539	inhibits>	bindingprot-tf
Q16236	P01375	stimulates>	bindingprot-tf
Q15796	Q13233	stimulates>	bindingprot-tf
O94916	P01100	stimulates>	bindingprot-tf
P06213	P08069	inhibits>	bindingprot-tf
Q07869	Q12778	inhibits>	bindingprot-tf
P42224	P23458	stimulates>	bindingprot-tf
Q99708	P78527	inhibits>	bindingprot-tf
P78536	P17252	stimulates>	bindingprot-tf
Q9H4Z2	Q16539	inhibits>	bindingprot-tf
P10599	Q16236	inhibits>	bindingprot-tf
P48436	P17612	stimulates>	bindingprot-tf
P18031	P35568	inhibits>	bindingprot-tf
P49674	O60716	inhibits>	bindingprot-tf
Q03060	P17612	inhibits>	bindingprot-tf
P04637	P49674	stimulates>	bindingprot-tf
Q06413	Q9UQL6	inhibits>	bindingprot-tf
P15884	P05412	stimulates>	bindingprot-tf
P19793	P24468	stimulates>	bindingprot-tf
Q96EB6	P23458	inhibits>	bindingprot-tf
P84022	Q9Y297	inhibits>	bindingprot-tf
Q12857	P45983	inhibits>	bindingprot-tf
P46109	P56945	stimulates>	bindingprot-tf
O14920	Q9Y4K3	stimulates>	bindingprot-tf
P40763	P16591	stimulates>	bindingprot-tf
O15530	P06213	inhibits>	bindingprot-tf
P15036	P28482	inhibits>	bindingprot-tf
P17676	P45983	inhibits>	bindingprot-tf
P17612	O15530	stimulates>	bindingprot-tf
Q14653	P45983	stimulates>	bindingprot-tf
Q05195	Q9UQE7	inhibits>	bindingprot-tf
P25963	P43405	stimulates>	bindingprot-tf
Q08999	P17252	inhibits>	bindingprot-tf
Q9Y6Q9	O15111	stimulates>	bindingprot-tf
P22736	P45983	inhibits>	bindingprot-tf
P04637	P19525	stimulates>	bindingprot-tf
P27635	P17252	inhibits>	bindingprot-tf
P17252	P22681	inhibits>	bindingprot-tf
P10586	P06213	inhibits>	bindingprot-tf
P31749	Q9Y4K3	stimulates>	bindingprot-tf
Q15723	P45983	inhibits>	bindingprot-tf
Q9UBK2	P49841	inhibits>	bindingprot-tf
Q13233	Q12933	stimulates>	bindingprot-tf
Q14814	P51812	inhibits>	bindingprot-tf
P12643	Q92859	inhibits>	bindingprot-tf
O15169	O14640	inhibits>	bindingprot-tf
P23246	Q9HBH9	inhibits>	bindingprot-tf
Q00613	P28482	inhibits>	bindingprot-tf
P08069	P12931	stimulates>	bindingprot-tf
P42224	P19525	stimulates>	bindingprot-tf
Q15796	P36897	stimulates>	bindingprot-tf
P04637	P50750	stimulates>	bindingprot-tf
Q15796	Q92793	stimulates>	bindingprot-tf
P49789	P12931	stimulates>	bindingprot-tf
Q14247	P11362	inhibits>	bindingprot-tf
P46109	Q14511	stimulates>	bindingprot-tf
P12931	O43184	inhibits>	bindingprot-tf
P41134	O43524	inhibits>	bindingprot-tf
P46531	P25490	inhibits>	bindingprot-tf
Q12800	P67775	stimulates>	bindingprot-tf
O75626	P04637	stimulates>	bindingprot-tf
P05412	P78527	inhibits>	bindingprot-tf
P12931	P40763	inhibits>	bindingprot-tf
P42685	P41240	inhibits>	bindingprot-tf
P35222	P49840	inhibits>	bindingprot-tf
P67809	P51812	stimulates>	bindingprot-tf
Q00653	Q14164	inhibits>	bindingprot-tf
Q92569	P06213	inhibits>	bindingprot-tf
Q02078	Q13469	stimulates>	bindingprot-tf
P00519	Q13043	inhibits>	bindingprot-tf
P35222	Q09472	stimulates>	bindingprot-tf
P49841	P51812	inhibits>	bindingprot-tf
Q15831	P17252	inhibits>	bindingprot-tf
P49023	P67775	inhibits>	bindingprot-tf
P84022	P49841	stimulates>	bindingprot-tf
P43354	P22736	stimulates>	bindingprot-tf
Q04206	O75676	stimulates>	bindingprot-tf
Q15796	P36896	stimulates>	bindingprot-tf
P28482	Q02750	stimulates>	bindingprot-tf
P15923	Q04721	inhibits>	bindingprot-tf
P17676	P04150	stimulates>	bindingprot-tf
P67775	P00533	inhibits>	bindingprot-tf
Q9UBK2	P31749	inhibits>	bindingprot-tf
O14744	P12931	inhibits>	bindingprot-tf
P41743	O00443	inhibits>	bindingprot-tf
P43354	P28702	inhibits>	bindingprot-tf
P40763	P00519	stimulates>	bindingprot-tf
P67809	Q15418	stimulates>	bindingprot-tf
P04150	Q13188	inhibits>	bindingprot-tf
P28698	Q16539	inhibits>	bindingprot-tf
P00533	P17252	inhibits>	bindingprot-tf
P18848	Q9NZJ5	stimulates>	bindingprot-tf
Q9UBS0	P12931	inhibits>	bindingprot-tf
Q02078	P56524	inhibits>	bindingprot-tf
P00533	P04083	inhibits>	bindingprot-tf
P17252	P06213	inhibits>	bindingprot-tf
P67775	Q14511	inhibits>	bindingprot-tf
P41235	P27361	inhibits>	bindingprot-tf
P06213	P22681	inhibits>	bindingprot-tf
Q13485	Q15797	stimulates>	bindingprot-tf
P11473	P17612	inhibits>	bindingprot-tf
P05114	P17252	inhibits>	bindingprot-tf
P15336	Q8WYK2	inhibits>	bindingprot-tf
P11474	P49841	inhibits>	bindingprot-tf
P49840	P51812	inhibits>	bindingprot-tf
O14920	O15530	stimulates>	bindingprot-tf
Q01844	P17252	inhibits>	bindingprot-tf
P40763	P17676	stimulates>	bindingprot-tf
P08887	O14672	inhibits>	bindingprot-tf
O14964	P00533	stimulates>	bindingprot-tf
Q13948	Q16539	inhibits>	bindingprot-tf
P84022	P05412	inhibits>	bindingprot-tf
P49715	P28482	inhibits>	bindingprot-tf
P11831	Q05655	inhibits>	bindingprot-tf
P16220	Q13976	inhibits>	bindingprot-tf
P42684	P06213	inhibits>	bindingprot-tf
P31749	O15530	stimulates>	bindingprot-tf
P29353	Q08345	stimulates>	bindingprot-tf
P19419	Q13523	stimulates>	bindingprot-tf
P19793	P10827	stimulates>	bindingprot-tf
P09874	P08581	inhibits>	bindingprot-tf
Q13671	P0DP24	stimulates>	bindingprot-tf
Q16236	P17535	inhibits>	bindingprot-tf
P36956	P28482	stimulates>	bindingprot-tf
Q00653	P05771	inhibits>	bindingprot-tf
Q04206	Q09472	stimulates>	bindingprot-tf
P08069	P12830	inhibits>	bindingprot-tf
Q14814	Q9UQL6	inhibits>	bindingprot-tf
Q16236	Q13131	inhibits>	bindingprot-tf
P12004	P00533	stimulates>	bindingprot-tf
P27361	P23469	inhibits>	bindingprot-tf
P12931	P20936	inhibits>	bindingprot-tf
P40763	P51617	stimulates>	bindingprot-tf
P29323	P06213	inhibits>	bindingprot-tf
P24468	P28702	stimulates>	bindingprot-tf
Q02078	Q13485	stimulates>	bindingprot-tf
Q96T23	P51812	inhibits>	bindingprot-tf
Q04721	P17252	inhibits>	bindingprot-tf
P42229	O60674	stimulates>	bindingprot-tf
P40763	P27361	stimulates>	bindingprot-tf
P84022	P51812	inhibits>	bindingprot-tf
P11831	P78527	stimulates>	bindingprot-tf
P18846	Q13555	stimulates>	bindingprot-tf
P29350	P52735	inhibits>	bindingprot-tf
O94806	P17252	stimulates>	bindingprot-tf
P10827	P19793	inhibits>	bindingprot-tf
Q9NZJ5	P23458	inhibits>	bindingprot-tf
P35222	P12931	stimulates>	bindingprot-tf
Q15418	P17252	inhibits>	bindingprot-tf
P00533	P40818	stimulates>	bindingprot-tf
P27986	P04626	stimulates>	bindingprot-tf
O00141	P17252	inhibits>	bindingprot-tf
P25963	P51812	inhibits>	bindingprot-tf
P04792	P51812	inhibits>	bindingprot-tf
Q00653	P49841	inhibits>	bindingprot-tf
Q9H1A4	P78527	inhibits>	bindingprot-tf
Q16254	P27361	inhibits>	bindingprot-tf
P01106	P16220	stimulates>	bindingprot-tf
P42226	P17706	inhibits>	bindingprot-tf
P05771	P43405	inhibits>	bindingprot-tf
Q12933	P36941	stimulates>	bindingprot-tf
P84022	P56945	inhibits>	bindingprot-tf
P17861	P27361	inhibits>	bindingprot-tf
P17612	P67775	inhibits>	bindingprot-tf
Q03060	Q13555	inhibits>	bindingprot-tf
P04150	P49841	inhibits>	bindingprot-tf
P51812	P67775	inhibits>	bindingprot-tf
Q9UJM3	P00533	stimulates>	bindingprot-tf
Q12778	P17252	inhibits>	bindingprot-tf
O14920	P12931	stimulates>	bindingprot-tf
P04637	P23443	inhibits>	bindingprot-tf
P78527	P00533	stimulates>	bindingprot-tf
Q14653	P41279	inhibits>	bindingprot-tf
Q14457	P00533	inhibits>	bindingprot-tf
P42336	O43184	stimulates>	bindingprot-tf
Q08050	P49841	inhibits>	bindingprot-tf
P28482	P17252	stimulates>	bindingprot-tf
P21860	P00533	stimulates>	bindingprot-tf
P49841	O14640	inhibits>	bindingprot-tf
P40763	Q92769	stimulates>	bindingprot-tf
Q06124	P42336	inhibits>	bindingprot-tf
P17706	P29353	inhibits>	bindingprot-tf
Q9P0J1	P11362	inhibits>	bindingprot-tf
P01106	P61978	stimulates>	bindingprot-tf
P40763	Q13627	inhibits>	bindingprot-tf
P31749	P12931	stimulates>	bindingprot-tf
P23458	P35568	inhibits>	bindingprot-tf
P54646	P67775	inhibits>	bindingprot-tf
Q00613	P49841	inhibits>	bindingprot-tf
P04637	P49137	inhibits>	bindingprot-tf
P04626	P27986	inhibits>	bindingprot-tf
P43405	P15311	inhibits>	bindingprot-tf
Q06546	P27361	stimulates>	bindingprot-tf
P15941	P08069	inhibits>	bindingprot-tf
Q04206	O15111	stimulates>	bindingprot-tf
P17612	P61586	inhibits>	bindingprot-tf
P00519	Q14847	inhibits>	bindingprot-tf
P37231	P35222	inhibits>	bindingprot-tf
P10586	P12830	inhibits>	bindingprot-tf
P42224	P17706	inhibits>	bindingprot-tf
P12830	P12931	inhibits>	bindingprot-tf
O14640	O60353	stimulates>	bindingprot-tf
Q92908	P27361	inhibits>	bindingprot-tf
P42229	P28482	stimulates>	bindingprot-tf
P42226	P00519	stimulates>	bindingprot-tf
Q16236	Q9NWQ8	inhibits>	bindingprot-tf
P05412	P00519	stimulates>	bindingprot-tf
P01106	P45983	stimulates>	bindingprot-tf
P43405	P23458	stimulates>	bindingprot-tf
P49716	P49841	inhibits>	bindingprot-tf
P19793	P45985	inhibits>	bindingprot-tf
O15379	P24385	inhibits>	bindingprot-tf
P42574	P67775	inhibits>	bindingprot-tf
Q15796	P28482	stimulates>	bindingprot-tf
O15111	P46531	stimulates>	bindingprot-tf
P10244	P28482	inhibits>	bindingprot-tf
P63000	Q14289	stimulates>	bindingprot-tf
Q07869	P28482	stimulates>	bindingprot-tf
P04637	Q13464	inhibits>	bindingprot-tf
P08047	P27361	stimulates>	bindingprot-tf
Q02078	Q9UQL6	inhibits>	bindingprot-tf
P19838	Q05513	stimulates>	bindingprot-tf
P01112	Q06124	stimulates>	bindingprot-tf
Q15853	P49841	inhibits>	bindingprot-tf
Q15596	P50750	stimulates>	bindingprot-tf
P63000	P63096	stimulates>	bindingprot-tf
P18848	Q09472	inhibits>	bindingprot-tf
Q16659	P53355	inhibits>	bindingprot-tf
Q07869	P41235	inhibits>	bindingprot-tf
P52735	P00533	stimulates>	bindingprot-tf
P22415	Q16539	stimulates>	bindingprot-tf
P04637	P05771	inhibits>	bindingprot-tf
Q08999	P67775	stimulates>	bindingprot-tf
P05412	P49841	inhibits>	bindingprot-tf
P60709	Q14247	stimulates>	bindingprot-tf
Q13127	P45983	inhibits>	bindingprot-tf
Q15796	Q9H6Z4	stimulates>	bindingprot-tf
Q04864	Q9UHD2	stimulates>	bindingprot-tf
P25963	Q16236	inhibits>	bindingprot-tf
P17252	P12931	inhibits>	bindingprot-tf
P43354	P04150	stimulates>	bindingprot-tf
P42336	P21860	stimulates>	bindingprot-tf
Q15797	P46531	stimulates>	bindingprot-tf
P01116	P12931	stimulates>	bindingprot-tf
P84022	P04150	stimulates>	bindingprot-tf
Q15648	P78527	inhibits>	bindingprot-tf
Q04206	P42224	inhibits>	bindingprot-tf
Q04721	P78504	stimulates>	bindingprot-tf
Q02556	P10914	stimulates>	bindingprot-tf
Q05513	O15530	stimulates>	bindingprot-tf
P42224	P00519	stimulates>	bindingprot-tf
P08047	Q05513	stimulates>	bindingprot-tf
Q9UBS0	Q05655	inhibits>	bindingprot-tf
Q03135	P05067	inhibits>	bindingprot-tf
Q13952	P01106	inhibits>	bindingprot-tf
P16220	P17612	stimulates>	bindingprot-tf
P22681	P42336	inhibits>	bindingprot-tf
P31749	P67775	inhibits>	bindingprot-tf
P19419	P27361	stimulates>	bindingprot-tf
Q9NR61	Q04721	inhibits>	bindingprot-tf
Q05397	P00533	stimulates>	bindingprot-tf
P04049	P51812	inhibits>	bindingprot-tf
P49023	P45983	stimulates>	bindingprot-tf
P17676	P27361	stimulates>	bindingprot-tf
Q15596	P78527	inhibits>	bindingprot-tf
Q16236	P05771	stimulates>	bindingprot-tf
Q9UGL1	P09874	inhibits>	bindingprot-tf
P04150	P24468	stimulates>	bindingprot-tf
P11802	P24385	stimulates>	bindingprot-tf
Q92934	P67775	inhibits>	bindingprot-tf
O43639	P00533	stimulates>	bindingprot-tf
P32519	P67775	inhibits>	bindingprot-tf
P19174	P00533	stimulates>	bindingprot-tf
P28702	Q03181	inhibits>	bindingprot-tf
Q13153	P62993	stimulates>	bindingprot-tf
P42224	P49841	inhibits>	bindingprot-tf
Q04724	Q9UJU2	stimulates>	bindingprot-tf
Q9UBK2	Q16539	stimulates>	bindingprot-tf
Q13469	P45983	inhibits>	bindingprot-tf
Q99623	P17252	inhibits>	bindingprot-tf
P41235	Q13131	inhibits>	bindingprot-tf
Q13188	P17252	inhibits>	bindingprot-tf
O15169	O75581	stimulates>	bindingprot-tf
Q9Y618	P49841	inhibits>	bindingprot-tf
Q13555	P17252	inhibits>	bindingprot-tf
P22670	P49841	inhibits>	bindingprot-tf
P48436	Q13464	stimulates>	bindingprot-tf
P07384	P18031	inhibits>	bindingprot-tf
P53355	P12931	inhibits>	bindingprot-tf
P11831	Q13315	inhibits>	bindingprot-tf
P04150	O43293	stimulates>	bindingprot-tf
P45983	Q9Y4K3	stimulates>	bindingprot-tf
P62993	P21802	stimulates>	bindingprot-tf
P0DPQ6	P49841	inhibits>	bindingprot-tf
P04637	O95997	inhibits>	bindingprot-tf
O14641	P17252	stimulates>	bindingprot-tf
P35638	P49841	inhibits>	bindingprot-tf
Q9UQQ2	P08069	inhibits>	bindingprot-tf
P04049	P10301	stimulates>	bindingprot-tf
P00519	P12931	stimulates>	bindingprot-tf
Q9UPG8	Q8WUI4	inhibits>	bindingprot-tf
Q9Y6Q9	P48730	stimulates>	bindingprot-tf
P27348	P11274	stimulates>	bindingprot-tf
P16220	P51812	stimulates>	bindingprot-tf
P78347	Q13976	stimulates>	bindingprot-tf
Q08050	Q16539	inhibits>	bindingprot-tf
Q15788	P27361	stimulates>	bindingprot-tf
P56945	P06213	inhibits>	bindingprot-tf
P19793	Q13133	inhibits>	bindingprot-tf
P62993	Q13480	inhibits>	bindingprot-tf
Q9UJU2	Q9UBE8	inhibits>	bindingprot-tf
P40763	O43293	inhibits>	bindingprot-tf
P11802	P12931	inhibits>	bindingprot-tf
P01106	Q13177	inhibits>	bindingprot-tf
P52630	P29597	stimulates>	bindingprot-tf
Q16236	P05412	inhibits>	bindingprot-tf
Q00613	Q16539	inhibits>	bindingprot-tf
P10588	Q05655	inhibits>	bindingprot-tf
P15311	P00533	stimulates>	bindingprot-tf
Q13485	Q99717	stimulates>	bindingprot-tf
P27361	P67775	inhibits>	bindingprot-tf
P49841	P50148	inhibits>	bindingprot-tf
P11309	P40763	stimulates>	bindingprot-tf
P61586	Q9NPG1	stimulates>	bindingprot-tf
P42226	Q9UHD2	stimulates>	bindingprot-tf
Q02078	P11802	inhibits>	bindingprot-tf
P31749	Q13153	inhibits>	bindingprot-tf
Q01892	Q02750	inhibits>	bindingprot-tf
P11309	P17252	inhibits>	bindingprot-tf
P29353	P00533	stimulates>	bindingprot-tf
P84022	P31749	stimulates>	bindingprot-tf
Q9UBK2	Q96EB6	stimulates>	bindingprot-tf
P36894	Q13705	stimulates>	bindingprot-tf
P55317	P84022	inhibits>	bindingprot-tf
P01112	P50148	stimulates>	bindingprot-tf
P35568	P08069	stimulates>	bindingprot-tf
P07900	P12931	inhibits>	bindingprot-tf
P08069	Q06124	stimulates>	bindingprot-tf
Q16665	P46531	stimulates>	bindingprot-tf
P01100	P27361	stimulates>	bindingprot-tf
P28066	P51812	inhibits>	bindingprot-tf
P14316	P42224	stimulates>	bindingprot-tf
P62993	P12931	stimulates>	bindingprot-tf
P00519	P46108	inhibits>	bindingprot-tf
P53004	P06213	inhibits>	bindingprot-tf
P46531	Q9UBE8	inhibits>	bindingprot-tf
P22681	P12931	stimulates>	bindingprot-tf
P63000	P27986	stimulates>	bindingprot-tf
P26358	P31749	stimulates>	bindingprot-tf
P37231	P55055	stimulates>	bindingprot-tf
P18846	Q14012	stimulates>	bindingprot-tf
P12830	Q05655	inhibits>	bindingprot-tf
P07948	P04899	stimulates>	bindingprot-tf
P63096	Q9H1C0	stimulates>	bindingprot-tf
